"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2002-11-28",222.89,222.89,222.89,222.89,222.89,0,0,1
"2002-11-29",222.47,222.47,222.47,222.47,222.47,0,0,1
"2002-12-02",222.45,222.45,222.45,222.45,222.45,0,0,1
"2002-12-03",217.9,217.9,217.9,217.9,217.9,0,0,1
"2002-12-04",216.49,216.49,216.49,216.49,216.49,0,0,1
"2002-12-05",214.41,214.41,214.41,214.41,214.41,0,0,1
"2002-12-06",213.21,213.21,213.21,213.21,213.21,0,0,1
"2002-12-09",208.89,208.89,208.89,208.89,208.89,0,0,1
"2002-12-10",209.38,209.38,209.38,209.38,209.38,0,0,1
"2002-12-11",211.68,211.68,211.68,211.68,211.68,0,0,1
"2002-12-12",208.34,208.34,208.34,208.34,208.34,0,0,1
"2002-12-13",205.63,205.63,205.63,205.63,205.63,0,0,1
"2002-12-16",211.18,211.18,211.18,211.18,211.18,0,0,1
"2002-12-17",208.28,208.28,208.28,208.28,208.28,0,0,1
"2002-12-18",204.46,204.46,204.46,204.46,204.46,0,0,1
"2002-12-19",203.81,203.81,203.81,203.81,203.81,0,0,1
"2002-12-20",205.67,205.67,205.67,205.67,205.67,0,0,1
"2002-12-23",206.13,206.13,206.13,206.13,206.13,0,0,1
"2002-12-24",0,0,0,0,0,0,0,1
"2002-12-25",0,0,0,0,0,0,0,1
"2002-12-26",0,0,0,0,0,0,0,1
"2002-12-27",199.83,199.83,199.83,199.83,199.83,0,0,1
"2002-12-30",201.72,201.72,201.72,201.72,201.72,0,0,1
"2002-12-31",201.72,201.72,201.72,201.72,201.72,0,0,1
"2003-01-01",0,0,0,0,0,0,0,1
"2003-01-02",209.29,209.29,209.29,209.29,209.29,0,0,1
"2003-01-03",210.38,210.38,210.38,210.38,210.38,0,0,1
"2003-01-06",210.8,210.8,210.8,210.8,210.8,0,0,1
"2003-01-07",209.32,209.32,209.32,209.32,209.32,0,0,1
"2003-01-08",206.33,206.33,206.33,206.33,206.33,0,0,1
"2003-01-09",207.48,207.48,207.48,207.48,207.48,0,0,1
"2003-01-10",207.82,207.82,207.82,207.82,207.82,0,0,1
"2003-01-13",207.62,207.62,207.62,207.62,207.62,0,0,1
"2003-01-14",208.58,208.58,208.58,208.58,208.58,0,0,1
"2003-01-15",205.76,205.76,205.76,205.76,205.76,0,0,1
"2003-01-16",205.61,205.61,205.61,205.61,205.61,0,0,1
"2003-01-17",200.93,200.93,200.93,200.93,200.93,0,0,1
"2003-01-20",198.3,198.3,198.3,198.3,198.3,0,0,1
"2003-01-21",196.28,196.28,196.28,196.28,196.28,0,0,1
"2003-01-22",192.85,192.85,192.85,192.85,192.85,0,0,1
"2003-01-23",191.42,191.42,191.42,191.42,191.42,0,0,1
"2003-01-24",189.62,189.62,189.62,189.62,189.62,0,0,1
"2003-01-27",183.34,183.34,183.34,183.34,183.34,0,0,1
"2003-01-28",183.67,183.67,183.67,183.67,183.67,0,0,1
"2003-01-29",184.35,184.35,184.35,184.35,184.35,0,0,1
"2003-01-30",188.75,188.75,188.75,188.75,188.75,0,0,1
"2003-01-31",189,189,189,189,189,0,0,1
"2003-02-03",192.12,192.12,192.12,192.12,192.12,0,0,1
"2003-02-04",186.14,186.14,186.14,186.14,186.14,0,0,1
"2003-02-05",189.75,189.75,189.75,189.75,189.75,0,0,1
"2003-02-06",185.43,185.43,185.43,185.43,185.43,0,0,1
"2003-02-07",183.77,183.77,183.77,183.77,183.77,0,0,1
"2003-02-10",182.92,182.92,182.92,182.92,182.92,0,0,1
"2003-02-11",186.93,186.93,186.93,186.93,186.93,0,0,1
"2003-02-12",183.65,183.65,183.65,183.65,183.65,0,0,1
"2003-02-13",182.4,182.4,182.4,182.4,182.4,0,0,1
"2003-02-14",185.29,185.29,185.29,185.29,185.29,0,0,1
"2003-02-17",188.6,188.6,188.6,188.6,188.6,0,0,1
"2003-02-18",190.45,190.45,190.45,190.45,190.45,0,0,1
"2003-02-19",186.07,186.07,186.07,186.07,186.07,0,0,1
